Vector(Upload: 6.50 Mbit/s, Download: 25.40 Mbit/s, Sun Mar  8 08:37:22 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Optimum Online (New York City, NY) [12959.46 km]: 325.17 ms)
Vector(Upload: 0.75 Mbit/s, Download: 1.17 Mbit/s, Sun Mar  8 09:08:38 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 6694.077 ms)
Vector(Upload: 28.83 Mbit/s, Download: 80.82 Mbit/s, Sun Mar  8 09:10:29 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by NCIC Telcom (New Taipei) [802.48 km]: 36.526 ms)
Vector(Upload: 3.63 Mbit/s, Download: 11.24 Mbit/s, Sun Mar  8 09:12:59 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 303.508 ms)
Vector(Upload: 10.09 Mbit/s, Download: 30.82 Mbit/s, Sun Mar  8 09:44:07 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Vodafone Hutchison Australia (SD) (Sydney) [7372.57 km]: 212.921 ms)
Vector(Upload: 15.61 Mbit/s, Download: 53.47 Mbit/s, Sun Mar  8 09:46:18 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by FPT Telecom (Hong Kong) [1.06 km]: 14.581 ms)
Vector(Upload: 5.36 Mbit/s, Download: 5.15 Mbit/s, Sun Mar  8 09:47:14 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by TreudlerGroup UK (London) [9625.15 km]: 323.555 ms)
Vector(Upload: 4.19 Mbit/s, Download: 22.86 Mbit/s, Sun Mar  8 09:48:55 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Optimum Online (New York City, NY) [12959.46 km]: 317.232 ms)
Vector(Upload: 0.76 Mbit/s, Download: 2.04 Mbit/s, Sun Mar  8 10:20:22 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 10031.342 ms)
Vector(Upload: 40.97 Mbit/s, Download: 72.00 Mbit/s, Sun Mar  8 10:22:50 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Taiwan Star Telecom Co., Ltd. (New Taipei) [802.48 km]: 35.462 ms)
Vector(Upload: 6.41 Mbit/s, Download: 10.85 Mbit/s, Sun Mar  8 10:25:35 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 274.116 ms)
Vector(Upload: 14.09 Mbit/s, Download: 61.06 Mbit/s, Sun Mar  8 10:57:39 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Vodafone Hutchison Australia (NN) (Sydney) [7372.57 km]: 192.092 ms)
Vector(Upload: 60.73 Mbit/s, Download: 67.56 Mbit/s, Sun Mar  8 10:59:19 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by STC (Hong Kong) [1.06 km]: 10.806 ms)
Vector(Upload: 4.90 Mbit/s, Download: 8.24 Mbit/s, Sun Mar  8 11:00:03 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by TreudlerGroup UK (London) [9625.15 km]: 320.855 ms)
Vector(Upload: 6.12 Mbit/s, Download: 19.17 Mbit/s, Sun Mar  8 11:01:27 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Optimum Online (New York City, NY) [12959.46 km]: 352.027 ms)
Vector(Upload: 0.85 Mbit/s, Download: 1.61 Mbit/s, Sun Mar  8 11:32:51 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 3356.133 ms)
Vector(Upload: 21.24 Mbit/s, Download: 70.77 Mbit/s, Sun Mar  8 11:34:20 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Chief Telecom (New Taipei) [802.48 km]: 44.67 ms)
Vector(Upload: 2.73 Mbit/s, Download: 19.12 Mbit/s, Sun Mar  8 11:35:31 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 269.149 ms)
Vector(Upload: 9.39 Mbit/s, Download: 52.99 Mbit/s, Sun Mar  8 12:06:56 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Exetel (Sydney) [7372.57 km]: 207.972 ms)
